,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,Id,LogProbWord,ProbWord,Question,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,Correct,Valid,CorrectedQuestion,CorrectedAnswer,CorrectedCorrect,CorrectInt,CorrectedCorrectInt,NormalizedEditDistance,NED < .1,
10,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other igghwy and street GPS services have replaced what?,highway,igghwy,3,22,28,0.1,3,-1.487173837,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,Google Maps and other highway and street GPS services have replaced what?,D) atlas,TRUE,1,1,0.5,0,
11,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other ighway and street GPS services have replaced what?,highway,ighway,1,22,28,0.2,3,-1.487173837,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,Google Maps and other highway and street GPS services have replaced what?,D) atlas,TRUE,1,1,0.166666667,0,
12,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other hrlwa and street GPS services have replaced what?,highway,hrlwa,4,22,27,0.4,3,-1.487173837,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,Google Maps and other hardware and street GPS services have replaced what?,D) atlas,TRUE,1,1,0.8,0,
13,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other bjfa and street GPS services have replaced what?,highway,bjfa,6,22,26,0.8,3,-1.487173837,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,Google Maps and other navigation and street GPS services have replaced what?,D) atlas,TRUE,1,1,1.5,0,
14,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0,4,,0.003445196,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,TRUE,TRUE,"The fox walked from the city into the forest, what was it looking for?",C) natural habitat,TRUE,1,1,0,1,
15,"The fox walked from the city into the forest, what was it looking for?","The fo walked from the city into the forest, what was it looking for?",fox,fo,1,4,6,0.8,4,-2.46278607,0.003445196,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,TRUE,TRUE,"The fox walked from the city into the forest, what was it looking for?",C) natural habitat,TRUE,1,1,0.5,0,
16,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,mold,0,69,73,0,5,,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,TRUE,1,1,0,1,
17,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in omd in the back of his what?",mold,omd,2,69,72,0.2,5,-2.350883894,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,TRUE,1,1,0.666666667,0,
18,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mrd in the back of his what?",mold,mrd,2,69,72,0.4,5,-2.350883894,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,TRUE,1,1,0.666666667,0,
19,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in oxl in the back of his what?",mold,oxl,3,69,72,0.8,5,-2.350883894,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,TRUE,1,1,1,0,
20,Where is a business restaurant likely to be located?,Where is a business restaurant likely to be located?,restaurant,restaurant,0,20,30,0,6,,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,Where is a business restaurant likely to be located?,D) business sector,TRUE,1,1,0,1,
21,Where is a business restaurant likely to be located?,Where is a business restauranc likely to be located?,restaurant,restauranc,1,20,30,0.1,6,-4.465070676,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,Where is a business restaurant likely to be located?,D) business sector,TRUE,1,1,0.1,0,
22,Where is a business restaurant likely to be located?,Where is a business erstmurant likely to be located?,restaurant,erstmurant,3,20,30,0.2,6,-4.465070676,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,Where is a business restaurant likely to be located?,D) business sector,TRUE,1,1,0.3,0,
23,Where is a business restaurant likely to be located?,Where is a business xsttuarann likely to be located?,restaurant,xsttuarann,5,20,30,0.4,6,-4.465070676,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,Where is a business executive likely to be located?,D) business sector,TRUE,1,1,0.5,0,
24,Where is a business restaurant likely to be located?,Where is a business igtrant likely to be located?,restaurant,igtrant,5,20,27,0.8,6,-4.465070676,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,Where is a business ignorant likely to be located?,A) town,FALSE,1,0,0.714285714,0,
25,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bench,0,16,21,0,7,,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,TRUE,1,1,0,1,
26,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a benc and relaxed after doing a lot of work on his hobby.  Where is he?,bench,benc,1,16,20,0.1,7,-0.47511242,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,TRUE,1,1,0.25,0,
27,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a ebnch and relaxed after doing a lot of work on his hobby.  Where is he?,bench,ebnch,2,16,21,0.2,7,-0.47511242,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,TRUE,1,1,0.4,0,
28,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a besch and relaxed after doing a lot of work on his hobby.  Where is he?,bench,besch,1,16,21,0.4,7,-0.47511242,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,TRUE,1,1,0.2,0,
29,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a pnhe and relaxed after doing a lot of work on his hobby.  Where is he?,bench,pnhe,4,16,20,0.8,7,-0.47511242,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,Johnny sat on a phone and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,TRUE,1,1,1,0,
30,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,cooling off,cooling off,0,10,21,0,8,,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,TRUE,TRUE,James was cooling off too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,TRUE,1,1,0,1,
31,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was coolingoff two quickly.  He would die if he didn't find some way to stop what?,cooling off,coolingoff,1,10,20,0.1,8,-4.370598962,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,TRUE,TRUE,James was cooling off too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,TRUE,1,1,0.1,0,
32,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was ocltng of two quickly.  He would die if he didn't find some way to stop what?,cooling off,ocltng of,4,10,19,0.2,8,-4.370598962,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,TRUE,TRUE,James was coughing a lot and quickly. He would die if he didn't find some way to stop what?,A) loss of heat,TRUE,1,1,0.444444444,0,
33,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was cxkvig  off two quickly.  He would die if he didn't find some way to stop what?,cooling off,cxkvig  off,5,10,21,0.4,8,-4.370598962,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,E) calm down,FALSE,TRUE,James was coughing off too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,TRUE,0,1,0.454545455,0,
34,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was coooolwroke two quickly.  He would die if he didn't find some way to stop what?,cooling off,coooolwroke,7,10,21,0.8,8,-4.370598962,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,TRUE,TRUE,James was coolwroke too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,TRUE,1,1,0.636363636,0,
35,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",house,house,0,22,27,0,9,,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,"Of all the rooms in a house, it was his favorite. The aromas always drew him to the what?",C) kitchen,TRUE,1,1,0,1,
36,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a hpusj it was his favorite, the aromas always drew him to the what?",house,hpusj,2,22,27,0.1,9,-0.582013663,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",C) kitchen,TRUE,1,1,0.4,0,
37,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a houuse it was his favorite, the aromas always drew him to the what?",house,houuse,1,22,28,0.4,9,-0.582013663,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,"Of all the rooms in a house, it was his favorite. The aromas always drew him to the what?",C) kitchen,TRUE,1,1,0.166666667,0,
38,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a ooqss it was his favorite, the aromas always drew him to the what?",house,ooqss,3,22,27,0.8,9,-0.582013663,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",C) kitchen,TRUE,1,1,0.6,0,
39,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,marsh,0,17,22,0,10,,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,"Bill is stuck in a marsh when a man comes up to him speaking Cajun, where is he?",D) Louisiana,TRUE,1,1,0,1,
40,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in marsv when a man comes up to him peaking Cajun, where is he?",marsh,marsv,1,17,22,0.1,10,-5.06370751,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,"Bill is stuck in Mars when a man comes up to him speaking Cajun, where is he?",D) Louisiana,TRUE,1,1,0.2,0,
41,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in qars when a man comes up to him peaking Cajun, where is he?",marsh,qars,2,17,21,0.2,10,-5.06370751,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,"Bill is stuck in cars when a man comes up to him speaking Cajun, where is he?",D) Louisiana,TRUE,1,1,0.5,0,
42,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in adsh when a man comes up to him peaking Cajun, where is he?",marsh,adsh,2,17,21,0.4,10,-5.06370751,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,"Bill is stuck in a daze when a man comes up to him speaking Cajun, where is he?",D) Louisiana,TRUE,1,1,0.5,0,
43,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in rlh when a man comes up to him peaking Cajun, where is he?",marsh,rlh,3,17,20,0.8,10,-5.06370751,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,"Bill is stuck in a riddle when a man comes up to him speaking Cajun, where is he?",D) Louisiana,TRUE,1,1,1,0,
44,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pizzeria while shopping?,pizzeria,pizzeria,0,33,41,0,11,,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,Where would you expect to find a pizzeria while shopping?,D) food court,TRUE,1,1,0,1,
45,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pizzria while shopping?,pizzeria,pizzria,1,33,40,0.2,11,-4.670697099,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,Where would you expect to find a pizzeria while shopping?,D) food court,TRUE,1,1,0.142857143,0,
46,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pzzraa while shopping?,pizzeria,pzzraa,3,33,39,0.4,11,-4.670697099,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,Where would you expect to find a pizza while shopping?,D) food court,TRUE,1,1,0.5,0,
47,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pao while shopping?,pizzeria,pao,7,33,36,0.8,11,-4.670697099,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,Where would you expect to find a pao while shopping?,D) food court,TRUE,1,1,2.333333333,0,
48,You can share files with someone if you have a connection to a what?,You can share files with someone if you have a connection to a what?,connection,connection,0,47,57,0,15,,0.39747265,You can share files with someone if you have a connection to a what?,47,57,"['A) freeway', 'B) radio', 'C) wires', 'D) computer network', 'E) electrical circuit']",D) computer network,D) computer network,TRUE,TRUE,You can share files with someone if you have a connection to a what?,D) computer network,TRUE,1,1,0,1,
49,You can share files with someone if you have a connection to a what?,You can share files with someone if you have a connetcion to a what?,connection,connetcion,2,47,57,0.1,15,-0.40069275,0.39747265,You can share files with someone if you have a connection to a what?,47,57,"['A) freeway', 'B) radio', 'C) wires', 'D) computer network', 'E) electrical circuit']",D) computer network,D) computer network,TRUE,TRUE,You can share files with someone if you have a connection to a what?,D) computer network,TRUE,1,1,0.2,0,
50,You can share files with someone if you have a connection to a what?,You can share files with someone if you have a zonnection to a what?,connection,zonnection,1,47,57,0.2,15,-0.40069275,0.39747265,You can share files with someone if you have a connection to a what?,47,57,"['A) freeway', 'B) radio', 'C) wires', 'D) computer network', 'E) electrical circuit']",D) computer network,D) computer network,TRUE,TRUE,You can share files with someone if you have a connection to a what?,D) computer network,TRUE,1,1,0.1,0,
51,You can share files with someone if you have a connection to a what?,You can share files with someone if you have a onnnnctio to a what?,connection,onnnnctio,4,47,56,0.4,15,-0.40069275,0.39747265,You can share files with someone if you have a connection to a what?,47,57,"['A) freeway', 'B) radio', 'C) wires', 'D) computer network', 'E) electrical circuit']",D) computer network,D) computer network,TRUE,TRUE,You can share files with someone if you have a connection to a what?,D) computer network,TRUE,1,1,0.444444444,0,
52,You can share files with someone if you have a connection to a what?,You can share files with someone if you have a fbnncpitoos to a what?,connection,fbnncpitoos,7,47,58,0.8,15,-0.40069275,0.39747265,You can share files with someone if you have a connection to a what?,47,57,"['A) freeway', 'B) radio', 'C) wires', 'D) computer network', 'E) electrical circuit']",D) computer network,D) computer network,TRUE,TRUE,You can share files with someone if you have access to a what?,D) computer network,TRUE,1,1,0.636363636,0,
53,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","Sean was lying about the body, but he was very scared.  He constantly worried about what?",lying,lying,0,9,14,0,17,,0.000908488,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",9,14,"['A) the reward money', 'B) hurt feelings', 'C) being found out', 'D) problems', 'E) trouble']",C) being found out,C) being found out,TRUE,TRUE,"Sean was lying about the body, but he was very scared. He constantly worried about what?",C) being found out,TRUE,1,1,0,1,
54,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","Sean was lycng about the body, but he was very scared.  He constantly worried about what?",lying,lycng,1,9,14,0.1,17,-3.041680721,0.000908488,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",9,14,"['A) the reward money', 'B) hurt feelings', 'C) being found out', 'D) problems', 'E) trouble']",C) being found out,C) being found out,TRUE,TRUE,"Sean was lying about the body, but he was very scared. He constantly worried about what?",C) being found out,TRUE,1,1,0.2,0,
55,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","Sean was lyingg about the body, but he was very scared.  He constantly worried about what?",lying,lyingg,1,9,15,0.2,17,-3.041680721,0.000908488,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",9,14,"['A) the reward money', 'B) hurt feelings', 'C) being found out', 'D) problems', 'E) trouble']",C) being found out,C) being found out,TRUE,TRUE,"Sean was lying about the body, but he was very scared. He constantly worried about what?",C) being found out,TRUE,1,1,0.166666667,0,
56,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","Sean was ylibg about the body, but he was very scared.  He constantly worried about what?",lying,ylibg,3,9,14,0.4,17,-3.041680721,0.000908488,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",9,14,"['A) the reward money', 'B) hurt feelings', 'C) being found out', 'D) problems', 'E) trouble']",C) being found out,C) being found out,TRUE,TRUE,"Sean was lying about the body, but he was very scared. He constantly worried about what?",C) being found out,TRUE,1,1,0.6,0,
57,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","Sean was yhg about the body, but he was very scared.  He constantly worried about what?",lying,yhg,3,9,12,0.8,17,-3.041680721,0.000908488,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",9,14,"['A) the reward money', 'B) hurt feelings', 'C) being found out', 'D) problems', 'E) trouble']",C) being found out,C) being found out,TRUE,TRUE,"Sean was curious about the body, but he was very scared. He constantly worried about what?",E) trouble,FALSE,1,0,1,0,
