,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,LogProbWord,Question,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,Correct,Valid,CorrectedQuestion,CorrectedAnswer,CorrectedCorrect
10,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a choker not located in a jewelry box or boutique where would you go?,choker,choker,0,12,18,0.0,2.827208163580508e-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,False,True,To locate a choker not located in a jewelry box or boutique where would you go?,B) neck,False
11,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a ohoier not located in a jewelry box or boutique where would you go?,choker,ohoier,2,12,18,0.1,2.827208163580508e-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,A) jewelry store,True,True,To locate a choker not located in a jewelry box or boutique where would you go?,B) neck,False
12,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a chokur not located in a jewelry box or boutique where would you go?,choker,chokur,1,12,18,0.2,2.827208163580508e-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,False,True,To locate a choker not located in a jewelry box or boutique where would you go?,B) neck,False
13,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a chokre not located in a jewelry box or boutique where would you go?,choker,chokre,2,12,18,0.4,2.827208163580508e-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,False,True,To locate a choker not located in a jewelry box or boutique where would you go?,B) neck,False
14,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a dhhee not located in a jewelry box or boutique where would you go?,choker,dhhee,4,12,17,0.8,2.827208163580508e-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,False,True,To locate a necklace not located in a jewelry box or boutique where would you go?,B) neck,False
15,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other highway and street GPS services have replaced what?,highway,highway,0,22,29,0.0,0.03257063031196594,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,True,True,Google Maps and other highway and street GPS services have replaced what?,D) atlas,True
16,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other highwwy and street GPS services have replaced what?,highway,highwwy,1,22,29,0.1,0.03257063031196594,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,True,True,Google Maps and other highway and street GPS services have replaced what?,D) atlas,True
17,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other highway and street GPS services have replaced what?,highway,highway,0,22,29,0.2,0.03257063031196594,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,True,True,Google Maps and other highway and street GPS services have replaced what?,D) atlas,True
18,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other hiwah and street GPS services have replaced what?,highway,hiwah,3,22,27,0.4,0.03257063031196594,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,True,True,Google Maps and other highway and street GPS services have replaced what?,D) atlas,True
19,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other higebv and street GPS services have replaced what?,highway,higebv,4,22,28,0.8,0.03257063031196594,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,True,True,Google Maps and other navigation and street GPS services have replaced what?,D) atlas,True
20,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0.0,0.0034451959654688835,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,True,True,"The fox walked from the city into the forest, what was it looking for?",C) natural habitat,True
21,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0.1,0.0034451959654688835,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,True,True,"The fox walked from the city into the forest, what was it looking for?",C) natural habitat,True
22,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0.2,0.0034451959654688835,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,True,True,"The fox walked from the city into the forest, what was it looking for?",C) natural habitat,True
23,"The fox walked from the city into the forest, what was it looking for?","The ofx walked from the city into the forest, what was it looking for?",fox,ofx,2,4,7,0.4,0.0034451959654688835,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,True,True,"The fox walked from the city into the forest, what was it looking for?",C) natural habitat,True
24,"The fox walked from the city into the forest, what was it looking for?","The ooi walked from the city into the forest, what was it looking for?",fox,ooi,2,4,7,0.8,0.0034451959654688835,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,True,True,"The dog walked from the city into the forest, what was it looking for?",C) natural habitat,True
25,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,mold,0,69,73,0.0,0.004457754082977772,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,True,True,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,True
26,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,mold,0,69,73,0.1,0.004457754082977772,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,True,True,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,True
27,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,mold,0,69,73,0.2,0.004457754082977772,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,True,True,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,True
28,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,mold,0,69,73,0.4,0.004457754082977772,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,True,True,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,True
29,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mldu in the back of his what?",mold,mldu,2,69,73,0.8,0.004457754082977772,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,True,True,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B) refrigerator,True
30,Where is a business restaurant likely to be located?,Where is a business restaurant likely to be located?,restaurant,restaurant,0,20,30,0.0,3.4271201002411544e-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,True,True,Where is a busy restaurant likely to be located?,A) town,False
31,Where is a business restaurant likely to be located?,Where is a business restaurant likely to be located?,restaurant,restaurant,0,20,30,0.1,3.4271201002411544e-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,True,True,Where is a busy restaurant likely to be located?,A) town,False
32,Where is a business restaurant likely to be located?,Where is a business reaurant likely to be located?,restaurant,reaurant,2,20,28,0.2,3.4271201002411544e-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,True,True,Where is a business restaurant likely to be located?,D) business sector,True
33,Where is a business restaurant likely to be located?,Where is a business rmsturatw likely to be located?,restaurant,rmsturatw,4,20,29,0.4,3.4271201002411544e-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,True,True,Where is a business restaurant likely to be located?,D) business sector,True
34,Where is a business restaurant likely to be located?,Where is a business enakrqc likely to be located?,restaurant,enakrqc,7,20,27,0.8,3.4271201002411544e-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,True,True,Where is a business enclave likely to be located?,D) business sector,True
35,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bench,0,16,21,0.0,0.33487874269485474,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,True,True,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,True
36,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a benc and relaxed after doing a lot of work on his hobby.  Where is he?,bench,benc,1,16,20,0.1,0.33487874269485474,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,True,True,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,True
37,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a brnch and relaxed after doing a lot of work on his hobby.  Where is he?,bench,brnch,1,16,21,0.2,0.33487874269485474,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,True,True,Johnny sat on a branch and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,True
38,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a knefh and relaxed after doing a lot of work on his hobby.  Where is he?,bench,knefh,4,16,21,0.4,0.33487874269485474,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,True,True,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,True
39,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bbec and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bbec,3,16,20,0.8,0.33487874269485474,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,True,True,Johnny sat on a bench and relaxed after doing a lot of work on his hobby. Where is he?,C) garden,True
40,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,cooling off,cooling off,0,10,21,0.0,4.2599160224199295e-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,True,True,James was cooling off too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,True
41,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was cooling ff two quickly.  He would die if he didn't find some way to stop what?,cooling off,cooling ff,1,10,20,0.1,4.2599160224199295e-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,True,True,James was cooling off too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,True
42,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was coooing of two quickly.  He would die if he didn't find some way to stop what?,cooling off,coooing of,2,10,20,0.2,4.2599160224199295e-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,E) calm down,False,True,James was cooling off too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,True
43,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was ooling off two quickly.  He would die if he didn't find some way to stop what?,cooling off,ooling off,1,10,20,0.4,4.2599160224199295e-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,True,True,James was cooling off too quickly. He would die if he didn't find some way to stop what?,A) loss of heat,True
44,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was ociinxrfff two quickly.  He would die if he didn't find some way to stop what?,cooling off,ociinxrfff,6,10,20,0.8,4.2599160224199295e-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,C) expansion,False,True,James was overexerting himself too quickly. He would die if he didn't find some way to stop what?,D) relaxation,False
45,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",house,house,0,22,27,0.0,0.2618100643157959,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,True,True,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",C) kitchen,True
46,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a housn it was his favorite, the aromas always drew him to the what?",house,housn,1,22,27,0.1,0.2618100643157959,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,True,True,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",C) kitchen,True
47,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",house,house,0,22,27,0.2,0.2618100643157959,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,True,True,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",C) kitchen,True
48,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a hut it was his favorite, the aromas always drew him to the what?",house,hut,3,22,25,0.4,0.2618100643157959,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,True,True,"Of all the rooms in a hut it was his favorite, the aromas always drew him to the what?",C) kitchen,True
49,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a weh it was his favorite, the aromas always drew him to the what?",house,weh,5,22,25,0.8,0.2618100643157959,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,True,True,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",C) kitchen,True
50,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,marsh,0,17,22,0.0,8.63559944264125e-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,True,True,"Bill is stuck in a marsh when a man comes up to him speaking Cajun, where is he?",D) Louisiana,True
51,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,marsh,0,17,22,0.1,8.63559944264125e-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,True,True,"Bill is stuck in a marsh when a man comes up to him speaking Cajun, where is he?",D) Louisiana,True
52,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in mrph when a man comes up to him peaking Cajun, where is he?",marsh,mrph,2,17,21,0.2,8.63559944264125e-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,True,True,"Bill is stuck in a morph when a man comes up to him speaking Cajun, where is he?",D) Louisiana,True
53,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in maarh when a man comes up to him peaking Cajun, where is he?",marsh,maarh,2,17,22,0.4,8.63559944264125e-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,True,True,"Bill is stuck in marsh when a man comes up to him speaking Cajun, where is he?",D) Louisiana,True
54,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in fthhh when a man comes up to him peaking Cajun, where is he?",marsh,fthhh,4,17,22,0.8,8.63559944264125e-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,True,True,"Bill is stuck in fifth when a man comes up to him speaking Cajun, where is he?",D) Louisiana,True
55,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pizzeria while shopping?,pizzeria,pizzeria,0,33,41,0.0,2.1345331333577633e-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,True,True,Where would you expect to find a pizzeria while shopping?,D) food court,True
56,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pizzeeria while shopping?,pizzeria,pizzeeria,1,33,42,0.1,2.1345331333577633e-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,True,True,Where would you expect to find a pizzeria while shopping?,D) food court,True
57,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pzera while shopping?,pizzeria,pzera,3,33,38,0.2,2.1345331333577633e-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,True,True,Where would you expect to find a pizza while shopping?,D) food court,True
58,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a fizerx while shopping?,pizzeria,fizerx,4,33,39,0.4,2.1345331333577633e-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,True,True,Where would you expect to find a pharmacy while shopping?,D) food court,True
59,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a puzeiaa while shopping?,pizzeria,puzeiaa,4,33,40,0.8,2.1345331333577633e-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,True,True,Where would you expect to find a pizzeria while shopping?,D) food court,True
60,"When eating everything on the tasting menu, what does one tend to feel?","When eating everything on the tasting menu, what does one tend to feel?",eating,eating,0,5,11,0.0,0.0670832097530365,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,False,True,"When eating everything on the tasting menu, what does one tend to feel?",E) satisfaction,False
61,"When eating everything on the tasting menu, what does one tend to feel?","When eatinc everything on the tasting menu, what does one tend to feel?",eating,eatinc,1,5,11,0.1,0.0670832097530365,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,False,True,"When eating everything on the tasting menu, what does one tend to feel?",E) satisfaction,False
62,"When eating everything on the tasting menu, what does one tend to feel?","When eating everything on the tasting menu, what does one tend to feel?",eating,eating,0,5,11,0.2,0.0670832097530365,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,False,True,"When eating everything on the tasting menu, what does one tend to feel?",E) satisfaction,False
63,"When eating everything on the tasting menu, what does one tend to feel?","When etign everything on the tasting menu, what does one tend to feel?",eating,etign,3,5,10,0.4,0.0670832097530365,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,False,True,"When eating everything on the tasting menu, what does one tend to feel?",E) satisfaction,False
64,"When eating everything on the tasting menu, what does one tend to feel?","When ficqm everything on the tasting menu, what does one tend to feel?",eating,ficqm,6,5,10,0.8,0.0670832097530365,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,False,True,"When finishing everything on the tasting menu, what does one tend to feel?",E) satisfaction,False
