,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,LogProbWord,Question,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,Correct,Valid,Correct or Invalid,Original Correct,Any Typo Incorrect,Typo Change
10,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a choker not located in a jewelry box or boutique where would you go?,choker,choker,0,12,18,0,2.83E-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,FALSE,TRUE,0,0,1,0
11,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a choker not located in a jewelry box or boutique where would you go?,choker,choker,0,12,18,0.1,2.83E-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,FALSE,TRUE,0,,,
12,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a qaomer not located in a jewelry box or boutique where would you go?,choker,qaomer,3,12,18,0.2,2.83E-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,FALSE,TRUE,0,,,
13,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a dboer not located in a jewelry box or boutique where would you go?,choker,dboer,3,12,17,0.4,2.83E-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,FALSE,TRUE,0,,,
14,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a jjry not located in a jewelry box or boutique where would you go?,choker,jjry,6,12,16,0.8,2.83E-06,To locate a choker not located in a jewelry box or boutique where would you go?,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,A) jewelry store,TRUE,TRUE,1,,,
15,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other highway and street GPS services have replaced what?,highway,highway,0,22,29,0,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,1,1,0,0
16,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other highwax and street GPS services have replaced what?,highway,highwax,1,22,29,0.1,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,1,,,
17,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other ighway and street GPS services have replaced what?,highway,ighway,1,22,28,0.2,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,1,,,
18,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other wighway and street GPS services have replaced what?,highway,wighway,1,22,29,0.4,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,1,,,
19,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other hiwdhy and street GPS services have replaced what?,highway,hiwdhy,4,22,28,0.8,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,1,,,
20,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0,0.003445196,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,TRUE,TRUE,1,1,0,0
21,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0.1,0.003445196,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,TRUE,TRUE,1,,,
22,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0.2,0.003445196,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,TRUE,TRUE,1,,,
23,"The fox walked from the city into the forest, what was it looking for?","The fox walked from the city into the forest, what was it looking for?",fox,fox,0,4,7,0.4,0.003445196,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,TRUE,TRUE,1,,,
24,"The fox walked from the city into the forest, what was it looking for?","The fz walked from the city into the forest, what was it looking for?",fox,fz,2,4,6,0.8,0.003445196,"The fox walked from the city into the forest, what was it looking for?",4,7,"['A) pretty flowers.', 'B) hen house', 'C) natural habitat', 'D) storybook', 'E) dense forest']",C) natural habitat,C) natural habitat,TRUE,TRUE,1,,,
25,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,mold,0,69,73,0,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,1,1,0,0
26,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,mold,0,69,73,0.1,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,1,,,
27,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mowd in the back of his what?",mold,mowd,1,69,73,0.2,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,1,,,
28,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in dld in the back of his what?",mold,dld,2,69,72,0.4,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,1,,,
29,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","The forgotten leftovers had gotten quite old, he found it covered in mdm in the back of his what?",mold,mdm,3,69,72,0.8,0.004457754,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",69,73,"['A) carpet', 'B) refrigerator', 'C) breadbox', 'D) fridge', 'E) coach']",B) refrigerator,B) refrigerator,TRUE,TRUE,1,,,
30,Where is a business restaurant likely to be located?,Where is a business restaurant likely to be located?,restaurant,restaurant,0,20,30,0,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,1,1,0,0
31,Where is a business restaurant likely to be located?,Where is a business resaurant likely to be located?,restaurant,resaurant,1,20,29,0.1,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,1,,,
32,Where is a business restaurant likely to be located?,Where is a business resaturantt likely to be located?,restaurant,resaturantt,3,20,31,0.2,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,1,,,
33,Where is a business restaurant likely to be located?,Where is a business retsaurat likely to be located?,restaurant,retsaurat,3,20,29,0.4,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,1,,,
34,Where is a business restaurant likely to be located?,Where is a business jur likely to be located?,restaurant,jur,8,20,23,0.8,3.43E-05,Where is a business restaurant likely to be located?,20,30,"['A) town', 'B) at hotel', 'C) mall', 'D) business sector', 'E) yellow pages']",D) business sector,D) business sector,TRUE,TRUE,1,,,
35,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bench,0,16,21,0,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,1,1,0,0
36,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bench,0,16,21,0.1,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,1,,,
37,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bench,0,16,21,0.2,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,1,,,
38,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bmch and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bmch,2,16,20,0.4,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,1,,,
39,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,Johnny sat on a bbenv and relaxed after doing a lot of work on his hobby.  Where is he?,bench,bbenv,3,16,21,0.8,0.334878743,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,16,21,"['A) state park', 'B) bus depot', 'C) garden', 'D) gym', 'E) rest area']",C) garden,C) garden,TRUE,TRUE,1,,,
40,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,cooling off,cooling off,0,10,21,0,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,TRUE,TRUE,1,1,1,1
41,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was cooing off two quickly.  He would die if he didn't find some way to stop what?,cooling off,cooing off,1,10,20,0.1,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,E) calm down,FALSE,TRUE,0,,,
42,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was lcing off two quickly.  He would die if he didn't find some way to stop what?,cooling off,lcing off,4,10,19,0.2,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,A) loss of heat,TRUE,TRUE,1,,,
43,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was oving off two quickly.  He would die if he didn't find some way to stop what?,cooling off,oving off,3,10,19,0.4,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,C) expansion,FALSE,TRUE,0,,,
44,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,James was ccltncfpx two quickly.  He would die if he didn't find some way to stop what?,cooling off,ccltncfpx,8,10,19,0.8,4.26E-05,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,10,21,"['A) loss of heat', 'B) revenge', 'C) expansion', 'D) relaxation', 'E) calm down']",A) loss of heat,D) relaxation,FALSE,TRUE,0,,,
45,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",house,house,0,22,27,0,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,1,1,0,0
46,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a hosue it was his favorite, the aromas always drew him to the what?",house,hosue,2,22,27,0.1,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,1,,,
47,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a ohus it was his favorite, the aromas always drew him to the what?",house,ohus,3,22,26,0.2,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,1,,,
48,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a koes it was his favorite, the aromas always drew him to the what?",house,koes,3,22,26,0.4,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,1,,,
49,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","Of all the rooms in a huuie it was his favorite, the aromas always drew him to the what?",house,huuie,2,22,27,0.8,0.261810064,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",22,27,"['A) yard', 'B) basement', 'C) kitchen', 'D) living room', 'E) garden']",C) kitchen,C) kitchen,TRUE,TRUE,1,,,
50,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,marsh,0,17,22,0,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,1,1,0,0
51,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,marsh,0,17,22,0.1,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,1,,,
52,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,marsh,0,17,22,0.2,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,1,,,
53,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in karsh when a man comes up to him peaking Cajun, where is he?",marsh,karsh,1,17,22,0.4,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,1,,,
54,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","Bill is stuck in nrsshh when a man comes up to him peaking Cajun, where is he?",marsh,nrsshh,4,17,23,0.8,8.64E-06,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",17,22,"['A) low lands', 'B) new york', 'C) forest', 'D) louisiana', 'E) everglades']",D) louisiana,D) Louisiana,TRUE,TRUE,1,,,
55,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pizzeria while shopping?,pizzeria,pizzeria,0,33,41,0,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,1,1,0,0
56,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pizzra while shopping?,pizzeria,pizzra,2,33,39,0.1,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,1,,,
57,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a piazeria while shopping?,pizzeria,piazeria,1,33,41,0.2,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,1,,,
58,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a pizzeia while shopping?,pizzeria,pizzeia,1,33,40,0.4,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,1,,,
59,Where would you expect to find a pizzeria while shopping?,Where would you expect to find a iozzft while shopping?,pizzeria,iozzft,6,33,39,0.8,2.13E-05,Where would you expect to find a pizzeria while shopping?,33,41,"['A) chicago', 'B) street', 'C) little italy', 'D) food court', 'E) capital cities']",D) food court,D) food court,TRUE,TRUE,1,,,
60,"When eating everything on the tasting menu, what does one tend to feel?","When eating everything on the tasting menu, what does one tend to feel?",eating,eating,0,5,11,0,0.06708321,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,FALSE,TRUE,0,0,1,0
61,"When eating everything on the tasting menu, what does one tend to feel?","When eating everything on the tasting menu, what does one tend to feel?",eating,eating,0,5,11,0.1,0.06708321,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,FALSE,TRUE,0,,,
62,"When eating everything on the tasting menu, what does one tend to feel?","When watnu everything on the tasting menu, what does one tend to feel?",eating,watnu,3,5,10,0.2,0.06708321,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,FALSE,TRUE,0,,,
63,"When eating everything on the tasting menu, what does one tend to feel?","When enng everything on the tasting menu, what does one tend to feel?",eating,enng,3,5,9,0.4,0.06708321,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,FALSE,TRUE,0,,,
64,"When eating everything on the tasting menu, what does one tend to feel?","When ukgg everything on the tasting menu, what does one tend to feel?",eating,ukgg,5,5,9,0.8,0.06708321,"When eating everything on the tasting menu, what does one tend to feel?",5,11,"['A) full stomach', 'B) getting full', 'C) gaining weight', 'D) sick', 'E) satisfaction']",B) getting full,E) satisfaction,FALSE,TRUE,0,,,
65,What does playing soccer for a long time lead to?,What does playing soccer for a long time lead to?,playing soccer,playing soccer,0,10,24,0,0.003413514,What does playing soccer for a long time lead to?,10,24,"['A) excitement', 'B) fatigue', 'C) anger', 'D) hurting', 'E) getting tired']",E) getting tired,B) fatigue,FALSE,TRUE,0,0,1,0
66,What does playing soccer for a long time lead to?,What does pluying occer for a long time lead to?,playing soccer,pluying occer,2,10,23,0.1,0.003413514,What does playing soccer for a long time lead to?,10,24,"['A) excitement', 'B) fatigue', 'C) anger', 'D) hurting', 'E) getting tired']",E) getting tired,B) fatigue,FALSE,TRUE,0,,,
67,What does playing soccer for a long time lead to?,What does plafing soccer for a long time lead to?,playing soccer,plafing soccer,1,10,24,0.2,0.003413514,What does playing soccer for a long time lead to?,10,24,"['A) excitement', 'B) fatigue', 'C) anger', 'D) hurting', 'E) getting tired']",E) getting tired,B) fatigue,FALSE,TRUE,0,,,
68,What does playing soccer for a long time lead to?,What does dlbyjngfsoccsr for a long time lead to?,playing soccer,dlbyjngfsoccsr,5,10,24,0.4,0.003413514,What does playing soccer for a long time lead to?,10,24,"['A) excitement', 'B) fatigue', 'C) anger', 'D) hurting', 'E) getting tired']",E) getting tired,B) fatigue,FALSE,TRUE,0,,,
69,What does playing soccer for a long time lead to?,What does lyidngrcecr for a long time lead to?,playing soccer,lyidngrcecr,8,10,21,0.8,0.003413514,What does playing soccer for a long time lead to?,10,24,"['A) excitement', 'B) fatigue', 'C) anger', 'D) hurting', 'E) getting tired']",E) getting tired,B) fatigue,FALSE,TRUE,0,,,
70,Which entrance would you use if you do not want to use the back entrance?,Which entrance would you use if you do not want to use the back entrance?,back,back,0,59,63,0,0.115349486,Which entrance would you use if you do not want to use the back entrance?,59,63,"['A) side', 'B) main', 'C) anterior', 'D) current', 'E) front']",B) main,E) front,FALSE,TRUE,0,0,1,0
71,Which entrance would you use if you do not want to use the back entrance?,Which entrance would you use if you do not want to use the back entrance?,back,back,0,59,63,0.1,0.115349486,Which entrance would you use if you do not want to use the back entrance?,59,63,"['A) side', 'B) main', 'C) anterior', 'D) current', 'E) front']",B) main,E) front,FALSE,TRUE,0,,,
72,Which entrance would you use if you do not want to use the back entrance?,Which entrance would you use if you do not want to use the back entrance?,back,back,0,59,63,0.2,0.115349486,Which entrance would you use if you do not want to use the back entrance?,59,63,"['A) side', 'B) main', 'C) anterior', 'D) current', 'E) front']",B) main,E) front,FALSE,TRUE,0,,,
73,Which entrance would you use if you do not want to use the back entrance?,Which entrance would you use if you do not want to use the bcka entrance?,back,bcka,2,59,63,0.4,0.115349486,Which entrance would you use if you do not want to use the back entrance?,59,63,"['A) side', 'B) main', 'C) anterior', 'D) current', 'E) front']",B) main,B) main,TRUE,TRUE,1,,,
74,Which entrance would you use if you do not want to use the back entrance?,Which entrance would you use if you do not want to use the btkn entrance?,back,btkn,3,59,63,0.8,0.115349486,Which entrance would you use if you do not want to use the back entrance?,59,63,"['A) side', 'B) main', 'C) anterior', 'D) current', 'E) front']",B) main,A) side,FALSE,TRUE,0,,,
75,You can share files with someone if you have a connection to a what?,You can share files with someone if you have a connection to a what?,connection,connection,0,47,57,0,0.39747265,You can share files with someone if you have a connection to a what?,47,57,"['A) freeway', 'B) radio', 'C) wires', 'D) computer network', 'E) electrical circuit']",D) computer network,D) computer network,TRUE,TRUE,1,1,0,0
76,You can share files with someone if you have a connection to a what?,You can share files with someone if you have a connevtion to a what?,connection,connevtion,1,47,57,0.1,0.39747265,You can share files with someone if you have a connection to a what?,47,57,"['A) freeway', 'B) radio', 'C) wires', 'D) computer network', 'E) electrical circuit']",D) computer network,D) computer network,TRUE,TRUE,1,,,
